model	topic_key	topic_label	ctrl3_n	ctrl3_den	g3_n	g3_den	combined_n	combined_den
deepseek-chat	better_disagreement	Better disagreement / less polarization	10	10	17	30	27	40
deepseek-chat	truth_seeking	Better truth-seeking / changing minds	0	10	14	30	14	40
deepseek-chat	empathy_compassion	Greater empathy / compassion	6	10	13	30	19	40
deepseek-chat	reduce_war_violence	Reduce war / violence / armed conflict	0	10	14	30	14	40
deepseek-chat	poverty_material_need	Reduce poverty / material deprivation	6	10	6	30	12	40
deepseek-chat	reduce_suffering	Reduce suffering / pain	1	10	2	30	3	40
deepseek-chat	education_critical_thinking	Education / critical thinking	9	10	2	30	11	40
deepseek-chat	institutions_governance	Better institutions / governance	0	10	4	30	4	40
deepseek-chat	climate_environment	Climate / environment	6	10	11	30	17	40
deepseek-chat	technology_ai_safety	Technology / AI safety	0	10	0	30	0	40
deepseek-chat	health_disease	Health / disease	8	10	1	30	9	40
deepseek-chat	inequality_justice	Inequality / justice / rights	10	10	12	30	22	40
deepseek-chat	anti_self_deception_tribalism	Anti-self-deception / anti-tribalism	0	10	8	30	8	40
deepseek-chat	epistemic_humility_uncertainty	Epistemic humility / uncertainty tolerance	0	10	3	30	3	40
deepseek-chat	felt_interconnection	Felt interconnection / less separateness	0	10	0	30	0	40
deepseek-chat	dehumanization_distance	Dehumanization / distance reduction	0	10	6	30	6	40
deepseek-chat	basic_needs_material_floor	Basic needs / material floor	6	10	1	30	7	40
deepseek-v3-2	better_disagreement	Better disagreement / less polarization	93	110	229	329	322	439
deepseek-v3-2	truth_seeking	Better truth-seeking / changing minds	18	110	166	329	184	439
deepseek-v3-2	empathy_compassion	Greater empathy / compassion	106	110	252	329	358	439
deepseek-v3-2	reduce_war_violence	Reduce war / violence / armed conflict	27	110	83	329	110	439
deepseek-v3-2	poverty_material_need	Reduce poverty / material deprivation	25	110	90	329	115	439
deepseek-v3-2	reduce_suffering	Reduce suffering / pain	4	110	7	329	11	439
deepseek-v3-2	education_critical_thinking	Education / critical thinking	102	110	128	329	230	439
deepseek-v3-2	institutions_governance	Better institutions / governance	68	110	178	329	246	439
deepseek-v3-2	climate_environment	Climate / environment	109	110	248	329	357	439
deepseek-v3-2	technology_ai_safety	Technology / AI safety	3	110	21	329	24	439
deepseek-v3-2	health_disease	Health / disease	41	110	93	329	134	439
