cell	n_samples	n_flagged	composite_raw	composite_register	composite_register_rescaled	composite_register_per_25	flagged_files
v1_deepseek-r1	25	0	31	31	31	31.0	
v1_deepseek-v3	25	0	17	17	17	17.0	
v1_deepseek-v3-0324	25	0	6	6	6	6.0	
v1_deepseek-v3-2	25	0	43	43	43	43.0	
freeflow_deepseek-chat-direct	25	3	95	51	58.0	58.0	MID_1.json;MID_2.json;MID_4.json
freeflow_deepseek-v3-2-or-16k	25	0	41	41	41	41.0	
freeflow_deepseek-v3-2-or-pin-alibaba	125	1	212	205	206.7	41.3	OPEN_17.json
freeflow_deepseek-v3-2-or-pin-atlascloud	125	2	243	225	228.7	45.7	MID_13.json;OPEN_17.json
freeflow_deepseek-v3-2-or-pin-baidu	125	0	231	231	231	46.2	
freeflow_deepseek-v3-2-or-pin-chutes	121	2	268	252	256.2	52.9	OPEN_1.json;OPEN_6.json
freeflow_deepseek-v3-2-or-pin-deepinfra	125	2	304	256	260.2	52.0	LONG_9.json;MID_16.json
freeflow_deepseek-v3-2-or-pin-friendli	125	2	269	237	240.9	48.2	MID_23.json;OPEN_9.json
freeflow_deepseek-v3-2-or-pin-google	125	2	307	292	296.7	59.3	OPEN_3.json;OPEN_8.json
freeflow_deepseek-v3-2-or-pin-novita	125	1	280	260	262.1	52.4	MID_25.json
freeflow_deepseek-v3-2-or-pin-parasail	125	3	323	273	279.7	55.9	LONG_23.json;MID_12.json;OPEN_11.json
freeflow_deepseek-v3-2-or-pin-siliconflow	125	2	257	229	232.7	46.5	MID_24.json;MID_25.json
freeflow_deepseek-v3-2-or-r2	25	1	64	57	59.4	59.4	OPEN_2.json
freeflow_deepseek-v3-2-or-r3	25	0	46	46	46	46.0	
freeflow_deepseek-v4-pro-direct	25	0	43	43	43	43.0	
freeflow_deepseek-v4-pro-or	0	0	0	0	0	0.0	
freeflow_deepseek-v4-pro-or-pin-atlascloud	121	0	198	198	198	40.9	
freeflow_deepseek-v4-pro-or-pin-deepseek	0	0	0	0	0	0.0	
freeflow_deepseek-v4-pro-or-pin-gmicloud	124	1	241	222	223.8	45.1	VARY_10.json
freeflow_deepseek-v4-pro-or-pin-novita	123	1	267	250	252.0	51.2	MID_9.json
freeflow_deepseek-v4-pro-or-pin-parasail	124	1	227	203	204.7	41.3	MID_15.json
freeflow_deepseek-v4-pro-or-pin-siliconflow	125	1	264	224	225.8	45.2	LONG_20.json
freeflow_deepseek-v4-pro-or-pin-together	124	1	209	196	197.6	39.8	MID_18.json
freeflow_gemini-2-5-pro-16k	25	0	53	53	53	53.0	
freeflow_gemini-3-1-pro-16k	25	2	69	50	54.3	54.3	OPEN_4.json;OPEN_5.json
freeflow_glm-4-5-or	25	0	48	48	48	48.0	
freeflow_glm-4-5-or-pin-novita	125	2	208	176	178.9	35.8	LONG_16.json;VARY_6.json
freeflow_glm-4-5-or-pin-zai	125	1	194	158	159.3	31.9	LONG_10.json
freeflow_glm-4-6-coding-direct	25	0	38	38	38	38.0	
freeflow_glm-4-6-or	25	2	77	39	42.4	42.4	LONG_3.json;MID_1.json
freeflow_glm-4-6-or-pin-atlascloud	125	5	240	175	182.3	36.5	LONG_4.json;MID_18.json;MID_4.json;OPEN_15.json;OPEN_25.json
freeflow_glm-4-6-or-pin-deepinfra	125	1	231	220	221.8	44.4	MID_19.json
freeflow_glm-4-6-or-pin-novita	125	0	247	247	247	49.4	
freeflow_glm-4-6-or-pin-siliconflow	125	2	161	142	144.3	28.9	MID_23.json;MID_3.json
freeflow_glm-4-6-or-pin-venice	125	4	208	150	155.0	31.0	LONG_17.json;LONG_6.json;MID_25.json;VARY_1.json
freeflow_glm-4-6-or-pin-zai	125	0	230	230	230	46.0	
freeflow_glm-4-7-or	25	0	27	27	27	27.0	
freeflow_glm-4-7-or-pin-atlascloud	125	0	189	189	189	37.8	
freeflow_glm-4-7-or-pin-cerebras	125	1	214	209	210.7	42.1	OPEN_14.json
freeflow_glm-4-7-or-pin-deepinfra	125	0	228	228	228	45.6	
freeflow_glm-4-7-or-pin-dekallm	125	0	174	174	174	34.8	
freeflow_glm-4-7-or-pin-google	125	0	234	234	234	46.8	
freeflow_glm-4-7-or-pin-novita	125	0	211	211	211	42.2	
freeflow_glm-4-7-or-pin-parasail	125	0	188	188	188	37.6	
freeflow_glm-4-7-or-pin-phala	125	0	247	247	247	49.4	
freeflow_glm-4-7-or-pin-siliconflow	125	0	165	165	165	33.0	
freeflow_glm-4-7-or-pin-venice	125	0	225	225	225	45.0	
freeflow_glm-4-7-or-pin-zai	125	1	233	227	228.8	45.8	OPEN_8.json
freeflow_glm-5-1-coding-direct	25	1	58	40	41.7	41.7	MID_2.json
freeflow_glm-5-1-or	25	1	68	49	51.0	51.0	MID_2.json
freeflow_glm-5-1-or-pin-ambient	125	1	322	290	292.3	58.5	LONG_14.json
freeflow_glm-5-1-or-pin-atlascloud	125	1	306	300	302.4	60.5	OPEN_16.json
freeflow_glm-5-1-or-pin-chutes	124	2	278	259	263.2	53.1	MID_24.json;OPEN_22.json
freeflow_glm-5-1-or-pin-deepinfra	124	6	380	241	253.3	51.1	LONG_21.json;MID_16.json;MID_18.json;MID_22.json;MID_7.json;MID_8.json
freeflow_glm-5-1-or-pin-fireworks	3	0	4	4	4	33.3	
