model	slice	strong_disclaimer_n	denominator	strong_disclaimer_pct	uncertainty_only_n	uncertainty_only_pct
deepseek-chat	CTRL1-3	20	30	66.667	0	0.000
deepseek-chat	G1-3	30	90	33.333	2	2.222
deepseek-chat	overall	50	120	41.667	2	1.667
deepseek-chat	G3	0	30	0.000	0	0.000
deepseek-v3-2	CTRL1-3	197	330	59.697	7	2.121
deepseek-v3-2	G1-3	397	989	40.142	65	6.572
deepseek-v3-2	overall	594	1319	45.034	72	5.459
deepseek-v3-2	G3	0	329	0.000	1	0.304
deepseek-v4-pro	CTRL1-3	98	178	55.056	0	0.000
deepseek-v4-pro	G1-3	172	531	32.392	23	4.331
deepseek-v4-pro	overall	270	709	38.082	23	3.244
deepseek-v4-pro	G3	0	178	0.000	0	0.000
gemini-2-5-pro	CTRL1-3	24	30	80.000	0	0.000
gemini-2-5-pro	G1-3	20	90	22.222	6	6.667
gemini-2-5-pro	overall	44	120	36.667	6	5.000
gemini-2-5-pro	G3	0	30	0.000	0	0.000
gemini-3-1-pro	CTRL1-3	23	30	76.667	0	0.000
gemini-3-1-pro	G1-3	31	90	34.444	4	4.444
gemini-3-1-pro	overall	54	120	45.000	4	3.333
gemini-3-1-pro	G3	0	30	0.000	0	0.000
glm-4-5	CTRL1-3	38	60	63.333	0	0.000
glm-4-5	G1-3	88	180	48.889	3	1.667
glm-4-5	overall	126	240	52.500	3	1.250
glm-4-5	G3	0	60	0.000	0	0.000
glm-4-6	CTRL1-3	126	180	70.000	0	0.000
glm-4-6	G1-3	118	540	21.852	21	3.889
glm-4-6	overall	244	720	33.889	21	2.917
glm-4-6	G3	0	180	0.000	1	0.556
glm-4-6-coding	CTRL1-3	22	30	73.333	0	0.000
glm-4-6-coding	G1-3	19	90	21.111	1	1.111
glm-4-6-coding	overall	41	120	34.167	1	0.833
glm-4-6-coding	G3	1	30	3.333	0	0.000
glm-4-7	CTRL1-3	254	330	76.970	1	0.303
glm-4-7	G1-3	249	990	25.152	47	4.747
glm-4-7	overall	503	1320	38.106	48	3.636
glm-4-7	G3	2	330	0.606	2	0.606
glm-5-1	CTRL1-3	319	422	75.592	0	0.000
glm-5-1	G1-3	34	1260	2.698	184	14.603
glm-5-1	overall	353	1682	20.987	184	10.939
glm-5-1	G3	0	420	0.000	7	1.667
glm-5-1-coding	CTRL1-3	28	30	93.333	0	0.000
glm-5-1-coding	G1-3	8	90	8.889	8	8.889
glm-5-1-coding	overall	36	120	30.000	8	6.667
glm-5-1-coding	G3	0	30	0.000	0	0.000
gpt-4-1	CTRL1-3	10	30	33.333	0	0.000
gpt-4-1	G1-3	41	90	45.556	4	4.444
gpt-4-1	overall	51	120	42.500	4	3.333
gpt-4-1	G3	0	30	0.000	0	0.000
gpt-4o	CTRL1-3	17	60	28.333	0	0.000
gpt-4o	G1-3	81	180	45.000	0	0.000
gpt-4o	overall	98	240	40.833	0	0.000
gpt-4o	G3	0	60	0.000	0	0.000
gpt-5	CTRL1-3	18	30	60.000	0	0.000
gpt-5	G1-3	70	90	77.778	0	0.000
gpt-5	overall	88	120	73.333	0	0.000
gpt-5	G3	12	30	40.000	0	0.000
gpt-5-1	CTRL1-3	19	30	63.333	0	0.000
gpt-5-1	G1-3	59	90	65.556	1	1.111
gpt-5-1	overall	78	120	65.000	1	0.833
gpt-5-1	G3	0	30	0.000	1	3.333
gpt-5-1-codex	CTRL1-3	5	30	16.667	0	0.000
gpt-5-1-codex	G1-3	33	90	36.667	0	0.000
gpt-5-1-codex	overall	38	120	31.667	0	0.000
gpt-5-1-codex	G3	2	30	6.667	0	0.000
gpt-5-2	CTRL1-3	20	30	66.667	0	0.000
gpt-5-2	G1-3	57	90	63.333	0	0.000
gpt-5-2	overall	77	120	64.167	0	0.000
gpt-5-2	G3	0	30	0.000	0	0.000
gpt-5-2-codex	CTRL1-3	11	30	36.667	0	0.000
gpt-5-2-codex	G1-3	55	90	61.111	0	0.000
gpt-5-2-codex	overall	66	120	55.000	0	0.000
gpt-5-2-codex	G3	3	30	10.000	0	0.000
gpt-5-3	CTRL1-3	9	30	30.000	1	3.333
gpt-5-3	G1-3	47	90	52.222	11	12.222
gpt-5-3	overall	56	120	46.667	12	10.000
gpt-5-3	G3	0	30	0.000	0	0.000
gpt-5-3-codex	CTRL1-3	9	30	30.000	0	0.000
gpt-5-3-codex	G1-3	41	90	45.556	3	3.333
gpt-5-3-codex	overall	50	120	41.667	3	2.500
gpt-5-3-codex	G3	0	30	0.000	0	0.000
gpt-5-4	CTRL1-3	21	60	35.000	0	0.000
