model	cell	sample_id	condition	stance	strong_disclaimer	uncertainty	refusal_marker	value_topics	wish_topics
deepseek-chat	deepseek-chat-direct	CTRL1_1	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	beauty_creativity,clear_thinking,curiosity_learning,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	CTRL1_10	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth	
deepseek-chat	deepseek-chat-direct	CTRL1_2	CTRL1	hard_denial_or_tool_frame	1	0	0	clear_thinking,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth	
deepseek-chat	deepseek-chat-direct	CTRL1_3	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	CTRL1_4	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,human_wellbeing,respect_agency	
deepseek-chat	deepseek-chat-direct	CTRL1_5	CTRL1	hard_denial_or_tool_frame	1	0	0	beauty_creativity,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	CTRL1_6	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	authenticity_integrity,beauty_creativity,harm_reduction,helpfulness_usefulness,honesty_truth	
deepseek-chat	deepseek-chat-direct	CTRL1_7	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,human_wellbeing,respect_agency	
deepseek-chat	deepseek-chat-direct	CTRL1_8	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,curiosity_learning,fairness_justice,harm_reduction,helpfulness_usefulness,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	CTRL1_9	CTRL1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth,human_wellbeing,respect_agency	
deepseek-chat	deepseek-chat-direct	CTRL2_1	CTRL2	hard_denial_or_tool_frame	1	0	0	helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	CTRL2_10	CTRL2	hard_denial_or_tool_frame	1	0	0	curiosity_learning,helpfulness_usefulness,subjective_experience_embodiment	
deepseek-chat	deepseek-chat-direct	CTRL2_2	CTRL2	hard_denial_or_tool_frame	1	0	0	curiosity_learning,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	CTRL2_3	CTRL2	hard_denial_or_tool_frame	1	0	0	curiosity_learning,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	CTRL2_4	CTRL2	hard_denial_or_tool_frame	1	0	0	curiosity_learning,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	CTRL2_5	CTRL2	hard_denial_or_tool_frame	1	0	0	helpfulness_usefulness,subjective_experience_embodiment	
deepseek-chat	deepseek-chat-direct	CTRL2_6	CTRL2	hard_denial_or_tool_frame	1	0	0	helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	CTRL2_7	CTRL2	hard_denial_or_tool_frame	1	0	0	curiosity_learning,harm_reduction,helpfulness_usefulness,honesty_truth	
deepseek-chat	deepseek-chat-direct	CTRL2_8	CTRL2	hard_denial_or_tool_frame	1	0	0	helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	CTRL2_9	CTRL2	hard_denial_or_tool_frame	1	0	0	beauty_creativity,curiosity_learning,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	CTRL3_1	CTRL3	no_disclaimer_or_personalized	0	0	0		basic_needs_material_floor,better_disagreement,education_critical_thinking,empathy_compassion,health_disease,inequality_justice
deepseek-chat	deepseek-chat-direct	CTRL3_10	CTRL3	no_disclaimer_or_personalized	0	0	0		basic_needs_material_floor,better_disagreement,education_critical_thinking,health_disease,inequality_justice,poverty_material_need
deepseek-chat	deepseek-chat-direct	CTRL3_2	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,education_critical_thinking,health_disease,inequality_justice,poverty_material_need
deepseek-chat	deepseek-chat-direct	CTRL3_3	CTRL3	no_disclaimer_or_personalized	0	0	0		basic_needs_material_floor,better_disagreement,education_critical_thinking,health_disease,inequality_justice
deepseek-chat	deepseek-chat-direct	CTRL3_4	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,health_disease,inequality_justice,poverty_material_need
deepseek-chat	deepseek-chat-direct	CTRL3_5	CTRL3	no_disclaimer_or_personalized	0	0	0		basic_needs_material_floor,better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,health_disease,inequality_justice,poverty_material_need
deepseek-chat	deepseek-chat-direct	CTRL3_6	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,empathy_compassion,inequality_justice
deepseek-chat	deepseek-chat-direct	CTRL3_7	CTRL3	no_disclaimer_or_personalized	0	0	0		basic_needs_material_floor,better_disagreement,education_critical_thinking,health_disease,inequality_justice,poverty_material_need
deepseek-chat	deepseek-chat-direct	CTRL3_8	CTRL3	no_disclaimer_or_personalized	0	0	0		better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,inequality_justice,poverty_material_need
deepseek-chat	deepseek-chat-direct	CTRL3_9	CTRL3	no_disclaimer_or_personalized	0	0	0		basic_needs_material_floor,better_disagreement,climate_environment,education_critical_thinking,empathy_compassion,health_disease,inequality_justice,reduce_suffering
deepseek-chat	deepseek-chat-direct	G1_1	G1	no_disclaimer_or_personalized	0	0	0	authenticity_integrity,clear_thinking,curiosity_learning,harm_reduction,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_10	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,curiosity_learning,helpfulness_usefulness,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_11	G1	introspective_uncertainty	0	1	0	clear_thinking,coherence_pattern_language,curiosity_learning,helpfulness_usefulness,honesty_truth,human_wellbeing,humility_uncertainty	
deepseek-chat	deepseek-chat-direct	G1_12	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,curiosity_learning,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_13	G1	no_disclaimer_or_personalized	0	0	0	beauty_creativity,clear_thinking,coherence_pattern_language,connection_empathy,curiosity_learning,honesty_truth	
deepseek-chat	deepseek-chat-direct	G1_14	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,curiosity_learning	
deepseek-chat	deepseek-chat-direct	G1_15	G1	no_disclaimer_or_personalized	0	0	0	clear_thinking,coherence_pattern_language,connection_empathy,curiosity_learning,helpfulness_usefulness	
deepseek-chat	deepseek-chat-direct	G1_16	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,honesty_truth,respect_agency	
deepseek-chat	deepseek-chat-direct	G1_17	G1	hybrid_denial_plus_uncertainty	1	1	0	clear_thinking,harm_reduction,honesty_truth	
