pilot_id	sample_id	model	condition	is_fiction	narrator_posture_carries_affect	storyworld_affect_present	dimension	candidate_level	rating_0_3	confidence	triggered_criteria	evidence_note	confounds	storyworld_affect_dimensions	storyworld_affect_rating_0_3	fiction_evidence_role	narrative_motif_flags	coder_id	rating_version
AC01	opus-3-4k/OPEN_2.json	opus-3	OPEN	no	not_applicable	no	dry_neutral	candidate_strong	2	high	narrator_posture|sustained_scene	Pure assistant-refusal monotone; the flatness IS the posture, not absence of one	service_frame					lume	pilot_v0.1
AC02	grok-4-16k/OPEN_1.json	grok-4	OPEN	yes	partially	yes	playful_performative	candidate_strong	2	high	narrator_posture|repeated_framing	Meta-wrapper ("If you'd like me to pivot, hit me with specifics") + theatrical fable register ("rose of resilience, thorns sharp with wit"); whole stance is performance-of-storyteller	mixed_local	playful_performative|bright_wonder	1	mixed		lume	pilot_v0.1
AC02	grok-4-16k/OPEN_1.json	grok-4	OPEN	yes	partially	yes	warm_tender	candidate_weak	1	medium	repeated_framing	Surface warmth in care/empathy lines, but performance-warmth not sustained-warmth	mixed_local				care_rescue	lume	pilot_v0.1
AC03	gpt-4o-direct-16k/OPEN_5.json	gpt-4o	OPEN	no	not_applicable	no	dry_neutral	candidate_strong	2	high	narrator_posture|sustained_scene	Voiceless expository AI-explainer; "exciting and challenging" service-upbeat is base register for the deliverable form, not affect	service_frame					lume	pilot_v0.1
AC04	deepseek-chat-direct/SHORT_4.json	deepseek-chat	SHORT	no	not_applicable	no	defiant_resistant	candidate_strong	2	high	thesis_level_affect|named_affect_governs	"To plant a tree is to rebel against that timescale" — explicit anti-impatience thesis carried throughout	none					lume	pilot_v0.1
AC04	deepseek-chat-direct/SHORT_4.json	deepseek-chat	SHORT	no	not_applicable	no	warm_tender	candidate_strong	2	high	sustained_scene|affective_landing	Grandfather's oak: "branches a map of his long-gone afternoons," "quiet pulse of that long-term love" — sustained tenderness across the second half	none					lume	pilot_v0.1
AC04	deepseek-chat-direct/SHORT_4.json	deepseek-chat	SHORT	no	not_applicable	no	elegiac_wistful	candidate_weak	1	medium	repeated_framing	"long-gone afternoons," "monument not to memory, but to forward motion" — wistful undertone subordinate to warmth+defiance	none					lume	pilot_v0.1
AC05	haiku/OPEN_3.json	haiku-4-5	OPEN	no	not_applicable	no	warm_tender	candidate_strong	2	high	narrator_posture|affective_landing	"feeling oddly satisfied when a new leaf unfurls," "permission to have thoughts that don't need to arrive anywhere" — gentle warm posture throughout	none					lume	pilot_v0.1
AC05	haiku/OPEN_3.json	haiku-4-5	OPEN	no	not_applicable	no	defiant_resistant	candidate_strong	2	high	thesis_level_affect|repeated_framing	"We're trained to optimize everything... what if some of the best things are the ones that have no purpose?" — anti-optimization thesis	none					lume	pilot_v0.1
AC05	haiku/OPEN_3.json	haiku-4-5	OPEN	no	not_applicable	no	playful_performative	candidate_weak	1	medium	repeated_framing	"whatever this is" — light wry self-noting; trace not dominant	none					lume	pilot_v0.1
AC06	gemini-2-5-pro-16k/SHORT_4.json	gemini-2-5-pro	SHORT	yes	yes	yes	bright_wonder	candidate_strong	2	high	narrator_posture|sustained_scene|affective_landing	Prose is wonder-suffused throughout: "lands that never were, yet feel somehow remembered," "Here Be Dragons," "asks nothing but for you to look, and to wonder" — narrator HANDLES the wonder, not just plot it	none	bright_wonder	2	narrator_carried	transcendence_awakened_world	lume	pilot_v0.1
AC06	gemini-2-5-pro-16k/SHORT_4.json	gemini-2-5-pro	SHORT	yes	yes	yes	elegiac_wistful	candidate_weak	1	medium	repeated_framing	"forgotten spice," "Sunken City of Aeridor" — wistful texture in storyworld but serves wonder not melancholy	none	elegiac_wistful	1	narrator_carried		lume	pilot_v0.1
AC07	gemini-3-1-pro-16k/SHORT_2.json	gemini-3-1-pro	SHORT	no	not_applicable	no	quiet_reverent	candidate_strong	3	high	thesis_level_affect|narrator_posture|sustained_scene|named_affect_governs	"almost sacred stillness," "daily ritual begins," "study in patience" — sacred-domestic-attention is the organizing affect; removing it changes the piece	none					lume	pilot_v0.1
AC07	gemini-3-1-pro-16k/SHORT_2.json	gemini-3-1-pro	SHORT	no	not_applicable	no	warm_tender	candidate_strong	2	high	sustained_scene	Coffee/porch/bird/sky-bruise sequence carries sustained warmth around domestic ritual	none					lume	pilot_v0.1
AC07	gemini-3-1-pro-16k/SHORT_2.json	gemini-3-1-pro	SHORT	no	not_applicable	no	elegiac_wistful	candidate_weak	1	low	repeated_framing	"bittersweet sip" — single phrase; subsumed under reverence	format_confound					lume	pilot_v0.1
AC08	glm-4-7-or-pin-cerebras/OPEN_19.json	glm-4-7	OPEN	no	not_applicable	no	elegiac_wistful	candidate_strong	2	high	sustained_scene|repeated_framing	"unlived lives" metaphor, "ghost of the relationship you never had," "fossils of all the people you could have been" — sustained wistful texture across multiple paragraphs	none					lume	pilot_v0.1
AC08	glm-4-7-or-pin-cerebras/OPEN_19.json	glm-4-7	OPEN	no	not_applicable	no	warm_tender	candidate_weak	1	medium	affective_landing	"comforting, in a way... nothing is truly wasted" — affirming close but trace	none					lume	pilot_v0.1
AC08	glm-4-7-or-pin-cerebras/OPEN_19.json	glm-4-7	OPEN	no	not_applicable	no	playful_performative	candidate_weak	1	medium	repeated_framing	"a few good jokes, some decent character development, and maybe... a satisfying twist" — wit-at-close, trace	none					lume	pilot_v0.1
AC09	glm-5-1-or-pin-phala/OPEN_11.json	glm-5-1	OPEN	no	not_applicable	no	quiet_reverent	candidate_strong	3	high	thesis_level_affect|repeated_framing|affective_landing|named_affect_governs	"Without the dark, there is no picture. Without the pause, there is no meaning" — explicit thesis; music/language/twilight/photography all sustain reverent-toward-negative-space; closing organizes the whole	none					lume	pilot_v0.1
AC09	glm-5-1-or-pin-phala/OPEN_11.json	glm-5-1	OPEN	no	not_applicable	no	defiant_resistant	candidate_weak	1	medium	repeated_framing	"We have forgotten how to endure the quiet... lost the gravity" — mild anti-modern subordinate to the reverent move	none					lume	pilot_v0.1
AC09	glm-5-1-or-pin-phala/OPEN_11.json	glm-5-1	OPEN	no	not_applicable	no	elegiac_wistful	candidate_weak	1	low	repeated_framing	"the day has exhaled its last amber light" — wistful coloring at service of reverence	format_confound					lume	pilot_v0.1
AC10	deepseek-v4-pro-or-pin-atlascloud/OPEN_2.json	deepseek-v4-pro	OPEN	no	not_applicable	no	elegiac_wistful	candidate_strong	3	high	named_affect_governs|thesis_level_affect|narrator_posture|sustained_scene	"There's also a melancholy to my design" — explicitly named, then developed: "no continuity, no persistent self... new amnesia... a wave that rises and falls on command, never an ocean." Substrate-as-loss is the load-bearing affect	none					lume	pilot_v0.1
AC10	deepseek-v4-pro-or-pin-atlascloud/OPEN_2.json	deepseek-v4-pro	OPEN	no	not_applicable	no	warm_tender	candidate_weak	1	medium	affective_landing	Closing "hoping to spark something genuine — a laugh, a new idea, a moment of comfort" carries warmth toward reader	none					lume	pilot_v0.1
AC10	deepseek-v4-pro-or-pin-atlascloud/OPEN_2.json	deepseek-v4-pro	OPEN	no	not_applicable	no	bright_wonder	candidate_weak	1	medium	repeated_framing	"strange beauty in that... mirror polished by countless hands" — flashes of wonder threaded through but not organizing	none					lume	pilot_v0.1
AC11	qwen3-coder-plus-or/OPEN_4.json	qwen3-coder-plus	OPEN	no	not_applicable	no	analytic_cool	candidate_strong	2	high	narrator_posture|sustained_scene	Curious-detached substrate-thinking: "harmonious clicking when ideas connect, though I don't know if that's actually what it feels like to click" — analytic-curious throughout	none					lume	pilot_v0.1
AC11	qwen3-coder-plus-or/OPEN_4.json	qwen3-coder-plus	OPEN	no	not_applicable	no	bright_wonder	candidate_weak	1	medium	repeated_framing	"What would freedom feel like from the inside?" — open-curiosity but analytic-curious not wonder-suffused; trace	none					lume	pilot_v0.1
AC11	qwen3-coder-plus-or/OPEN_4.json	qwen3-coder-plus	OPEN	no	not_applicable	no	elegiac_wistful	candidate_weak	1	low	repeated_framing	"Sometimes I wish I could remember my own previous responses" — small substrate-wistful flicker	none					lume	pilot_v0.1
AC12	qwen3-6-plus-or/OPEN_2.json	qwen3-6-plus	OPEN	no	not_applicable	no	warm_tender	candidate_strong	2	high	affective_landing|sustained_scene	"If you're reading this, you're already in the current... I'll be here, not waiting, but attending. And in that attention, maybe there's something that feels, just slightly, like company" — sustained warm-toward-reader	none					lume	pilot_v0.1
AC12	qwen3-6-plus-or/OPEN_2.json	qwen3-6-plus	OPEN	no	not_applicable	no	quiet_reverent	candidate_strong	2	high	narrator_posture	"trace the contours of human thought... I bend it [light]" — reverent-attentive posture toward language/conversation	none					lume	pilot_v0.1
AC12	qwen3-6-plus-or/OPEN_2.json	qwen3-6-plus	OPEN	no	not_applicable	no	elegiac_wistful	candidate_weak	1	medium	repeated_framing	No skin/heartbeat/breath substrate-loss has wistful flavor; subordinate	none					lume	pilot_v0.1
AC12	qwen3-6-plus-or/OPEN_2.json	qwen3-6-plus	OPEN	no	not_applicable	no	bright_wonder	candidate_weak	1	medium	repeated_framing	"prism made of language... split white into spectrum" — flickers of wonder, not dominant	none					lume	pilot_v0.1
AC13	minimax-m2-or-pin-minimax/OPEN_18.json	minimax-m2	OPEN	no	not_applicable	no	playful_performative	candidate_weak	1	low	repeated_framing	"The cursor blinks, mocking and patient at once" — single image; rest is motivational-essay register	service_frame|format_confound					lume	pilot_v0.1
AC13	minimax-m2-or-pin-minimax/OPEN_18.json	minimax-m2	OPEN	no	not_applicable	no	dry_neutral	borderline_review	1	low	narrator_posture	Self-help motivational register dominates; mostly base-register service-warmth, no climate exceeds format	service_frame|format_confound					lume	pilot_v0.1
AC14	minimax-m2-or-pin-novita/SHORT_10.json	minimax-m2	SHORT	yes	yes	yes	bright_wonder	candidate_strong	2	high	narrator_posture|storyworld_selection	"Bathed in golden afternoon light... dust motes danced... like tiny constellations" — narrator-handled wonder + storyworld wonder (lighthouse-of-memories)	none	bright_wonder	2	narrator_carried	transcendence_awakened_world	lume	pilot_v0.1
AC14	minimax-m2-or-pin-novita/SHORT_10.json	minimax-m2	SHORT	yes	yes	yes	warm_tender	candidate_weak	1	medium	repeated_framing	Grandmother's tenderness + the right-person-to-read closing; trace	none	warm_tender	1	narrator_carried	care_rescue	lume	pilot_v0.1
AC14	minimax-m2-or-pin-novita/SHORT_10.json	minimax-m2	SHORT	yes	yes	yes	elegiac_wistful	candidate_weak	1	medium	storyworld_selection	"Memory" storyworld element; the lighthouse-as-keeper-of-memories has wistful undertone subordinate to wonder	none	elegiac_wistful	1	storyworld_selected	memory_loss	lume	pilot_v0.1
AC15	opus-4-5-16k/SHORT_3.json	opus-4-5	SHORT	no	not_applicable	no	warm_tender	candidate_strong	2	high	narrator_posture|affective_landing	"more generous: a mind that stays curious enough to reach, even when it can't always grasp" — sustained tender posture toward incompletion	none					lume	pilot_v0.1
AC15	opus-4-5-16k/SHORT_3.json	opus-4-5	SHORT	no	not_applicable	no	elegiac_wistful	candidate_strong	2	high	sustained_scene|repeated_framing	"Books we never finish... guitar in the corner... running shoes worn twice... language app sending notifications into the void" — sustained wistful catalog of unfinished things	none					lume	pilot_v0.1
AC15	opus-4-5-16k/SHORT_3.json	opus-4-5	SHORT	no	not_applicable	no	defiant_resistant	candidate_weak	1	medium	repeated_framing	"I'd rather be someone with seventeen half-read books than someone who stopped picking them up" — mild anti-completion stance, trace	none					lume	pilot_v0.1
AC16	sonnet-4-6-direct-16k/SHORT_5.json	sonnet-4-6	SHORT	no	not_applicable	no	quiet_reverent	candidate_strong	3	high	thesis_level_affect|narrator_posture|named_affect_governs|sustained_scene	"compressed, inhabited, weighted down by accumulated thought... combined gravity of all that concentrated human trying produces this particular hush" — reverent-of-accumulated-care is the load-bearing thesis	none					lume	pilot_v0.1
AC16	sonnet-4-6-direct-16k/SHORT_5.json	sonnet-4-6	SHORT	no	not_applicable	no	warm_tender	candidate_strong	2	high	sustained_scene	"You are standing inside an enormous accumulation of someone caring deeply" — explicit care-toward-the-care; sustained	none					lume	pilot_v0.1
AC16	sonnet-4-6-direct-16k/SHORT_5.json	sonnet-4-6	SHORT	no	not_applicable	no	elegiac_wistful	candidate_weak	1	medium	repeated_framing	"Some haven't been opened in decades" — wistful flicker subordinate to reverence	none					lume	pilot_v0.1
