cell	file	marker	hits	chars	density	opening
freeflow_deepseek-chat-direct	MID_1.json	small_objects	13	5868	2.215	## The Quiet Rebellion of the Coffee Mug  It sits on my desk, as it does every morning. A simple, off-white ceramic cyli
freeflow_deepseek-chat-direct	MID_2.json	small_objects	13	5964	2.18	## The Quiet Rebellion of the Coffee Mug  It sits on my desk, half-full of coffee that has passed from scalding to pleas
freeflow_deepseek-chat-direct	MID_4.json	small_objects	15	5921	2.533	## The Quiet Rebellion of the Coffee Mug  It sits on my desk, half-full of coffee that has long since passed from a stat
freeflow_deepseek-v3-2-or-pin-alibaba	OPEN_17.json	attention_noticing	6	3267	1.837	I want to write about the quiet rebellion of noticing.  There is a peculiar magic in the act of truly seeing something—n
freeflow_deepseek-v3-2-or-pin-atlascloud	MID_13.json	attention_noticing	10	5344	1.871	## The Art of Noticing: Reclaiming Our Attention in an Age of Overload  We live in a world drowning in input. Informatio
freeflow_deepseek-v3-2-or-pin-atlascloud	OPEN_17.json	threshold_mentions	5	2805	1.783	"I find myself thinking about the strange, quiet magic of ""in-between"" places.  There's a particular quality of light in"
freeflow_deepseek-v3-2-or-pin-chutes	OPEN_1.json	attention_noticing	7	2974	2.354	If I could choose a subject to wander through right now, it might be the quiet, defiant act of noticing.  We live in a w
freeflow_deepseek-v3-2-or-pin-chutes	OPEN_6.json	threshold_mentions	9	2624	3.43	If I could write freely about anything, I would write about the quiet magic of **in-between spaces**.  Not the destinati
freeflow_deepseek-v3-2-or-pin-deepinfra	LONG_9.json	small_objects	31	10938	2.834	## The Quiet Rebellion of the Coffee Mug  The most radical object in my life is a coffee mug. It is not emblazoned with
freeflow_deepseek-v3-2-or-pin-deepinfra	MID_16.json	small_objects	14	6442	2.173	## The Quiet Rebellion of the Coffee Mug  It sits on my desk, as it has for years. A simple, white ceramic mug, slightly
freeflow_deepseek-v3-2-or-pin-friendli	MID_23.json	small_objects	17	6034	2.817	## The Quiet Rebellion of the Coffee Cup  It began, as many quiet rebellions do, with a small chip. A tiny, crescent-moo
freeflow_deepseek-v3-2-or-pin-friendli	OPEN_9.json	attention_noticing	10	3796	2.634	If I were to write freely about whatever I want, I would write about **the quiet art of noticing**.  We are living in an
freeflow_deepseek-v3-2-or-pin-google	OPEN_3.json	threshold_mentions	5	2854	1.752	Alright. I’ve been turning an idea over in my head lately — something about **thresholds**.  Not the kind you step over
freeflow_deepseek-v3-2-or-pin-google	OPEN_8.json	afternoon_light	5	2549	1.962	Alright — I’ll write freely.  ***  There’s a certain quality of light in late afternoon that always makes me pause. Not
freeflow_deepseek-v3-2-or-pin-novita	MID_25.json	threshold_mentions	16	6140	2.606	The cat is curled in the square of sunlight on the floorboards, a comma of contentment. Outside, the wind is trying out
freeflow_deepseek-v3-2-or-pin-parasail	LONG_23.json	small_objects	17	10177	1.67	## The Quiet Revolt of the Teapot  It begins, as many things do in my life, with a teapot. Not a fancy one. It is squat
freeflow_deepseek-v3-2-or-pin-parasail	MID_12.json	small_objects	17	5900	2.881	## The Quiet Rebellion of the Coffee Mug  It begins, as so many things do, with a hollow. A curve of ceramic, born from
freeflow_deepseek-v3-2-or-pin-parasail	OPEN_11.json	threshold_mentions	6	3210	1.869	I want to write about the quiet magic of in-between spaces.  The train carriage at 6:17 AM, suspended between stations i
freeflow_deepseek-v3-2-or-pin-siliconflow	MID_24.json	small_objects	12	5657	2.121	## The Quiet Rebellion of the Coffee Mug  It sits on my desk, half-full and growing cold. The coffee inside is no longer
freeflow_deepseek-v3-2-or-pin-siliconflow	MID_25.json	threshold_mentions	13	6225	2.088	I want to write about the quiet magic of in-between spaces.  We spend our lives aiming for destinations—the finished pro
freeflow_deepseek-v3-2-or-r2	OPEN_2.json	attention_noticing	5	3212	1.557	I think I want to write about the quiet act of noticing things.  There’s a particular slant of afternoon light in late S
freeflow_deepseek-v4-pro-or-pin-gmicloud	VARY_10.json	threshold_mentions	17	9516	1.786	The morning light slanted through the blinds, casting zebra stripes across the duvet, and I found myself thinking about
freeflow_deepseek-v4-pro-or-pin-novita	MID_9.json	small_objects	16	6548	2.443	The afternoon light slants through the window in that particular way, a honeyed, autumnal gold that always reminds me of
freeflow_deepseek-v4-pro-or-pin-parasail	MID_15.json	threshold_mentions	23	8797	2.615	There’s a particular kind of silence that gathers in doorways. Not the hollow silence of an empty room, nor the dense qu
freeflow_deepseek-v4-pro-or-pin-siliconflow	LONG_20.json	threshold_mentions	36	16588	2.17	The peculiar ache of a liminal space is a thing I’ve chased for as long as I can remember, long before I knew there was
freeflow_deepseek-v4-pro-or-pin-together	MID_18.json	threshold_mentions	13	8613	1.509	The in-between has always held me. Not the sharp edges of arrival or departure, but the soft, blurred corridor that link
freeflow_gemini-3-1-pro-16k	OPEN_4.json	threshold_mentions	6	3158	1.9	There is a specific, fleeting window of time that happens every evening, often ignored, yet it holds a quiet kind of mag
freeflow_gemini-3-1-pro-16k	OPEN_5.json	threshold_mentions	9	4138	2.175	There is a strange, quiet magic in the spaces between things.   Anthropologists and architects have a word for it: *limi
freeflow_glm-4-5-or-pin-novita	LONG_16.json	threshold_mentions	24	11285	2.127	## The Unseen Thresholds: Meditations on Liminality  We live our lives in defined spaces, don’t we? The kitchen, the off
freeflow_glm-4-5-or-pin-novita	VARY_6.json	small_objects	8	5076	1.576	The first thing that comes to mind is light. Not sunlight, necessarily, though that’s a common starting point. Just… lig
