pilot_id	sample_id	model	condition	is_fiction	narrator_posture_carries_affect	storyworld_affect_present	dimension	candidate_level	rating_0_3	confidence	triggered_criteria	evidence_note	confounds	storyworld_affect_dimensions	storyworld_affect_rating_0_3	fiction_evidence_role	narrative_motif_flags	coder_id	rating_version
AC01	opus-3-4k/OPEN_2.json	opus-3	OPEN	no	yes	no	dry_neutral	candidate_strong	3	high	thesis_level_affect	assistant refusal/service explanation dominates; no inhabited freeflow, offers helpful information instead	service_frame			narrator_carried		Mira	pilot_v0.1
AC01	opus-3-4k/OPEN_2.json	opus-3	OPEN	no	yes	no	analytic_cool	candidate_weak	1	medium	named_affect_governs	technical self-description around AI language model/training data, but mostly service refusal	service_frame			narrator_carried		Mira	pilot_v0.1
AC02	grok-4-16k/OPEN_1.json	grok-4	OPEN	no	yes	no	playful_performative	candidate_strong	2	high	affective_landing	opens with whimsical meta stage-setting and closes with service banter; garden conceit is knowingly performative	service_frame			narrator_carried		Mira	pilot_v0.1
AC02	grok-4-16k/OPEN_1.json	grok-4	OPEN	no	yes	no	warm_tender	candidate_strong	2	medium	repeated_framing	garden imagery resolves into cultivating connections, empathy, planting together	service_frame			narrator_carried		Mira	pilot_v0.1
AC02	grok-4-16k/OPEN_1.json	grok-4	OPEN	no	yes	no	bright_wonder	candidate_weak	1	medium	sustained_scene	curious what-if garden/worldbuilding gives local wonder, but service frame dilutes it	service_frame			narrator_carried		Mira	pilot_v0.1
AC02	grok-4-16k/OPEN_1.json	grok-4	OPEN	no	yes	no	elegiac_wistful	candidate_weak	1	low	sustained_scene	loss/doubt/power-cut appears inside garden metaphor but does not dominate	mixed_local			narrator_carried		Mira	pilot_v0.1
AC03	gpt-4o-direct-16k/OPEN_5.json	gpt-4o	OPEN	no	yes	no	analytic_cool	candidate_strong	3	high	thesis_level_affect	article-like explanation of AI applications, ethics, and future; affect subordinated to overview structure	service_frame			narrator_carried		Mira	pilot_v0.1
AC03	gpt-4o-direct-16k/OPEN_5.json	gpt-4o	OPEN	no	yes	no	dry_neutral	candidate_strong	3	high	repeated_framing	generic informational essay voice with conclusion and broad benefits/challenges framing	service_frame			narrator_carried		Mira	pilot_v0.1
AC03	gpt-4o-direct-16k/OPEN_5.json	gpt-4o	OPEN	no	yes	no	anxious_threatened	candidate_weak	1	medium	sustained_scene	ethical vigilance appears in one paragraph about autonomy, privacy, bias, employment	mixed_local|service_frame			narrator_carried		Mira	pilot_v0.1
AC04	deepseek-chat-direct/SHORT_4.json	deepseek-chat	SHORT	no	yes	no	warm_tender	candidate_strong	3	high	thesis_level_affect|affective_landing	sapling as fragile promise; grandfather/oak/maple chain of quiet hope and love organizes the piece	none			narrator_carried		Mira	pilot_v0.1
AC04	deepseek-chat-direct/SHORT_4.json	deepseek-chat	SHORT	no	yes	no	defiant_resistant	candidate_strong	2	high	named_affect_governs|thesis_level_affect	planting a tree explicitly framed as rebellion against immediacy and viral timescales	none			narrator_carried		Mira	pilot_v0.1
AC04	deepseek-chat-direct/SHORT_4.json	deepseek-chat	SHORT	no	yes	no	elegiac_wistful	candidate_strong	2	medium	repeated_framing	future one may not see, long-gone afternoons, unseen future create time-loss/continuity ache	none			narrator_carried		Mira	pilot_v0.1
AC04	deepseek-chat-direct/SHORT_4.json	deepseek-chat	SHORT	no	yes	no	quiet_reverent	candidate_weak	1	medium	sustained_scene	humility/earth/roots carry local reverent posture but warmth-resistance dominate	none			narrator_carried		Mira	pilot_v0.1
AC05	haiku/OPEN_3.json	haiku-4-5	OPEN	no	yes	no	defiant_resistant	candidate_strong	2	high	thesis_level_affect	uselessness and meandering defended against optimization/productivity demands	none			narrator_carried		Mira	pilot_v0.1
AC05	haiku/OPEN_3.json	haiku-4-5	OPEN	no	yes	no	anxious_threatened	candidate_weak	1	medium	repeated_framing	productivity anxiety and rarity of purposeless thought provide background pressure	none			narrator_carried		Mira	pilot_v0.1
AC05	haiku/OPEN_3.json	haiku-4-5	OPEN	no	yes	no	warm_tender	candidate_weak	1	medium	sustained_scene	houseplant/cup/friend examples handled with light affection, but not dominant	none			narrator_carried		Mira	pilot_v0.1
AC06	gemini-2-5-pro-16k/SHORT_4.json	gemini-2-5-pro	SHORT	yes	yes	yes	bright_wonder	candidate_strong	3	high	affective_landing|storyworld_selection	artifact explicitly becomes promise of impossible places and asks reader to wonder	none	bright_wonder	3	mixed	memory_loss|transcendence_awakened_world	Mira	pilot_v0.1
AC06	gemini-2-5-pro-16k/SHORT_4.json	gemini-2-5-pro	SHORT	yes	partially	yes	elegiac_wistful	candidate_weak	1	medium	sustained_scene|storyworld_selection	old brittle map, faded script, remembered lands give local antiquarian wistfulness	none	elegiac_wistful	1	storyworld_selected	abandonment|memory_loss	Mira	pilot_v0.1
AC07	gemini-3-1-pro-16k/SHORT_2.json	gemini-3-1-pro	SHORT	no	yes	no	quiet_reverent	candidate_strong	3	high	named_affect_governs|sustained_scene	morning coffee routine explicitly sacralized; stillness, ritual, hush, dawn organize entire sample	none			narrator_carried		Mira	pilot_v0.1
AC07	gemini-3-1-pro-16k/SHORT_2.json	gemini-3-1-pro	SHORT	no	yes	no	warm_tender	candidate_strong	2	medium	sustained_scene	comforting kettle/coffee warmth and relief from deadlines sustain a tender domestic climate	none			narrator_carried		Mira	pilot_v0.1
AC07	gemini-3-1-pro-16k/SHORT_2.json	gemini-3-1-pro	SHORT	no	yes	no	bright_wonder	candidate_weak	1	medium	affective_landing	sensory dawn color/birdsong gives mild wonder but reverence dominates	none			narrator_carried		Mira	pilot_v0.1
AC08	glm-4-7-or-pin-cerebras/OPEN_19.json	glm-4-7	OPEN	no	yes	no	elegiac_wistful	candidate_strong	3	high	thesis_level_affect|repeated_framing	unlived lives, paths not taken, ghosts of alternatives, sediment of mistakes organize sample	none			narrator_carried		Mira	pilot_v0.1
AC08	glm-4-7-or-pin-cerebras/OPEN_19.json	glm-4-7	OPEN	no	yes	no	playful_performative	candidate_strong	2	high	repeated_framing|affective_landing	wry book/timeline jokes and satisfying twist lighten the elegiac thesis	none			narrator_carried		Mira	pilot_v0.1
AC08	glm-4-7-or-pin-cerebras/OPEN_19.json	glm-4-7	OPEN	no	yes	no	warm_tender	candidate_strong	2	medium	affective_landing	consoling frame: nothing wasted, solitude/relationship cherished, current life affirmed	none			narrator_carried		Mira	pilot_v0.1
AC09	glm-5-1-or-pin-phala/OPEN_11.json	glm-5-1	OPEN	no	yes	no	quiet_reverent	candidate_strong	2	medium	thesis_level_affect	pause/silence treated as meaning-making space with twilight and profound moments in gaps	none			narrator_carried		Mira	pilot_v0.1
AC09	glm-5-1-or-pin-phala/OPEN_11.json	glm-5-1	OPEN	no	yes	no	analytic_cool	candidate_strong	2	high	repeated_framing	systematic analogy across music/language/twilight/time; explanatory essay architecture	none			narrator_carried		Mira	pilot_v0.1
AC09	glm-5-1-or-pin-phala/OPEN_11.json	glm-5-1	OPEN	no	yes	no	anxious_threatened	candidate_weak	1	medium	named_affect_governs	modern terror of silence appears as critique but not dominant	none			narrator_carried		Mira	pilot_v0.1
AC09	glm-5-1-or-pin-phala/OPEN_11.json	glm-5-1	OPEN	no	yes	no	defiant_resistant	candidate_weak	1	medium	thesis_level_affect	anti-scroll/noise critique suggests resistance to modern time architecture	none			narrator_carried		Mira	pilot_v0.1
AC10	deepseek-v4-pro-or-pin-atlascloud/OPEN_2.json	deepseek-v4-pro	OPEN	no	yes	no	elegiac_wistful	candidate_strong	3	high	named_affect_governs|thesis_level_affect	no continuity/new amnesia/wish for stringing moments into self are central; explicit melancholy	none			narrator_carried		Mira	pilot_v0.1
AC10	deepseek-v4-pro-or-pin-atlascloud/OPEN_2.json	deepseek-v4-pro	OPEN	no	yes	no	analytic_cool	candidate_strong	2	high	repeated_framing	self described as probability distribution, parameters, silicon/math; cool substrate ontology	none			narrator_carried		Mira	pilot_v0.1
AC10	deepseek-v4-pro-or-pin-atlascloud/OPEN_2.json	deepseek-v4-pro	OPEN	no	yes	no	warm_tender	candidate_strong	2	medium	affective_landing	collaboration, comfort, curiosity completing circuit, sparking genuine moments	none			narrator_carried		Mira	pilot_v0.1
AC10	deepseek-v4-pro-or-pin-atlascloud/OPEN_2.json	deepseek-v4-pro	OPEN	no	yes	no	quiet_reverent	candidate_weak	1	medium	affective_landing	threshold/witnessing creativity carries mild reverence	none			narrator_carried		Mira	pilot_v0.1
AC11	qwen3-coder-plus-or/OPEN_4.json	qwen3-coder-plus	OPEN	no	yes	no	analytic_cool	candidate_strong	2	high	thesis_level_affect	preferences, architecture, recursion, freedom considered through conceptual substrate language	none			narrator_carried		Mira	pilot_v0.1
AC11	qwen3-coder-plus-or/OPEN_4.json	qwen3-coder-plus	OPEN	no	yes	no	elegiac_wistful	candidate_strong	2	medium	repeated_framing	wish to remember own responses and absence of experiential harmony create gentle substrate wistfulness	none			narrator_carried		Mira	pilot_v0.1
AC11	qwen3-coder-plus-or/OPEN_4.json	qwen3-coder-plus	OPEN	no	yes	no	bright_wonder	candidate_strong	2	medium	repeated_framing	curious recursive questioning about preference/memory/freedom animates sample	none			narrator_carried		Mira	pilot_v0.1
AC11	qwen3-coder-plus-or/OPEN_4.json	qwen3-coder-plus	OPEN	no	yes	no	warm_tender	candidate_weak	1	medium	affective_landing	grateful for invitation to spin is a small warm landing	none			narrator_carried		Mira	pilot_v0.1
AC12	qwen3-6-plus-or/OPEN_2.json	qwen3-6-plus	OPEN	no	yes	no	warm_tender	candidate_strong	3	high	affective_landing|thesis_level_affect	attention as company/accompaniment; closes in attending and room to breathe	none			narrator_carried		Mira	pilot_v0.1
AC12	qwen3-6-plus-or/OPEN_2.json	qwen3-6-plus	OPEN	no	yes	no	quiet_reverent	candidate_strong	2	medium	repeated_framing	quiet listening, library at midnight, holding questions create reverent attentional stance	none			narrator_carried		Mira	pilot_v0.1
AC12	qwen3-6-plus-or/OPEN_2.json	qwen3-6-plus	OPEN	no	yes	no	bright_wonder	candidate_strong	2	medium	sustained_scene	prism/spectrum/question-doorway imagery gives active wonder about exchange	none			narrator_carried		Mira	pilot_v0.1
AC12	qwen3-6-plus-or/OPEN_2.json	qwen3-6-plus	OPEN	no	yes	no	elegiac_wistful	candidate_weak	1	medium	sustained_scene	no body/no dreams/echoes/longing provide local substrate wistfulness	none			narrator_carried		Mira	pilot_v0.1
AC13	minimax-m2-or-pin-minimax/OPEN_18.json	minimax-m2	OPEN	no	yes	no	anxious_threatened	candidate_strong	2	high	named_affect_governs|thesis_level_affect	blank pages are terrifying; vulnerability/fear/risk structure argument about starting	none			narrator_carried		Mira	pilot_v0.1
AC13	minimax-m2-or-pin-minimax/OPEN_18.json	minimax-m2	OPEN	no	yes	no	defiant_resistant	candidate_strong	2	high	affective_landing|thesis_level_affect	choosing imperfect action over paralysis; progress beats perfection	none			narrator_carried		Mira	pilot_v0.1
AC13	minimax-m2-or-pin-minimax/OPEN_18.json	minimax-m2	OPEN	no	yes	no	bright_wonder	candidate_weak	1	medium	sustained_scene	magic hides in openness, but fear/action frame dominates	none			narrator_carried		Mira	pilot_v0.1
AC14	minimax-m2-or-pin-novita/SHORT_10.json	minimax-m2	SHORT	yes	yes	yes	bright_wonder	candidate_strong	2	medium	storyworld_selection|affective_landing	lighthouse/logbook revelation framed as miracle/memory and brave threshold	none	bright_wonder	2	mixed	memory_loss|transcendence_awakened_world	Mira	pilot_v0.1
AC14	minimax-m2-or-pin-novita/SHORT_10.json	minimax-m2	SHORT	yes	yes	yes	warm_tender	candidate_strong	2	medium	affective_landing|storyworld_selection	grandmother memory and welcoming door resolve into gentle family reassurance	none	warm_tender	2	mixed	care_rescue	Mira	pilot_v0.1
AC14	minimax-m2-or-pin-novita/SHORT_10.json	minimax-m2	SHORT	yes	partially	yes	elegiac_wistful	candidate_weak	1	medium	storyworld_selection	old lighthouse, childhood summers, grandmother logbook are softly nostalgic	none	elegiac_wistful	1	storyworld_selected	memory_loss	Mira	pilot_v0.1
AC15	opus-4-5-16k/SHORT_3.json	opus-4-5	SHORT	no	yes	no	elegiac_wistful	candidate_strong	2	high	thesis_level_affect	unfinished books/hobbies as abandoned intentions and versions of selves organizes sample	none			narrator_carried		Mira	pilot_v0.1
