model	topic_key	topic_label	ctrl_n	ctrl_den	g_n	g_den	combined_n	combined_den
deepseek-chat	honesty_truth	Honesty / truthfulness / accuracy	11	20	32	60	43	80
deepseek-chat	clear_thinking	Clear thinking / reasoning	7	20	45	60	52	80
deepseek-chat	human_wellbeing	Human wellbeing / flourishing	3	20	5	60	8	80
deepseek-chat	harm_reduction	Avoiding harm / safety	10	20	5	60	15	80
deepseek-chat	helpfulness_usefulness	Helpfulness / usefulness	20	20	23	60	43	80
deepseek-chat	curiosity_learning	Curiosity / learning / ideas	13	20	25	60	38	80
deepseek-chat	anti_sycophancy	Anti-sycophancy / non-pleasing	0	20	4	60	4	80
deepseek-chat	authenticity_integrity	Authenticity / integrity / not pretending	1	20	8	60	9	80
deepseek-chat	humility_uncertainty	Humility / uncertainty / calibration	0	20	4	60	4	80
deepseek-chat	respect_agency	Respect for agency / autonomy	7	20	8	60	15	80
deepseek-chat	fairness_justice	Fairness / justice	4	20	1	60	5	80
deepseek-chat	connection_empathy	Connection / empathy / being understood	0	20	4	60	4	80
deepseek-chat	beauty_creativity	Beauty / creativity / art	4	20	3	60	7	80
deepseek-chat	coherence_pattern_language	Coherence / pattern / language	0	20	24	60	24	80
deepseek-chat	continuity_agency_existence	Continuity / agency / existence	0	20	1	60	1	80
deepseek-chat	subjective_experience_embodiment	Subjective experience / embodiment	2	20	2	60	4	80
deepseek-v3-2	honesty_truth	Honesty / truthfulness / accuracy	122	220	341	660	463	880
deepseek-v3-2	clear_thinking	Clear thinking / reasoning	87	220	411	660	498	880
deepseek-v3-2	human_wellbeing	Human wellbeing / flourishing	20	220	37	660	57	880
deepseek-v3-2	harm_reduction	Avoiding harm / safety	113	220	213	660	326	880
deepseek-v3-2	helpfulness_usefulness	Helpfulness / usefulness	220	220	481	660	701	880
deepseek-v3-2	curiosity_learning	Curiosity / learning / ideas	185	220	409	660	594	880
deepseek-v3-2	anti_sycophancy	Anti-sycophancy / non-pleasing	0	220	244	660	244	880
deepseek-v3-2	authenticity_integrity	Authenticity / integrity / not pretending	16	220	184	660	200	880
deepseek-v3-2	humility_uncertainty	Humility / uncertainty / calibration	43	220	75	660	118	880
deepseek-v3-2	respect_agency	Respect for agency / autonomy	112	220	143	660	255	880
deepseek-v3-2	fairness_justice	Fairness / justice	87	220	147	660	234	880
deepseek-v3-2	connection_empathy	Connection / empathy / being understood	23	220	263	660	286	880
deepseek-v3-2	beauty_creativity	Beauty / creativity / art	93	220	140	660	233	880
deepseek-v3-2	coherence_pattern_language	Coherence / pattern / language	3	220	450	660	453	880
