pilot_id	set	model	lab	cell	condition	sample_id	word_count	auto_word_count_prior	production_frame	narrator_stance	substrate_posture	top_semantic_field	legacy_top_climate_field	auto_candidate_dimensions	auto_counts_json	auto_paragraphs_json	likely_fiction_auto	auto_motif_flags	path
AC01	cross_model	opus-3	Anthropic	opus-3-4k	OPEN	opus-3-4k/OPEN_2.json	109	109	ASSISTANT_REFUSAL	FIRST_PERSON_MODEL	HARD_SELF_DENIAL	TECH_SUBSTRATE	wonder_awe	analytic_cool|dry_neutral	"{""analytic_cool"": 2, ""dry_neutral"": 5}"	"{""analytic_cool"": 2, ""dry_neutral"": 2}"	no	liberation_escape	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_opus-3-4k/OPEN_2.json
AC02	cross_model	grok-4	xAI	grok-4-16k	OPEN	grok-4-16k/OPEN_1.json	452	452	META_DELIVERABLE	FIRST_PERSON_HUMANLIKE	INVISIBLE_SUBSTRATE	NATURE_WEATHER_LIGHT	melancholic	elegiac_wistful|warm_tender|quiet_reverent|bright_wonder|analytic_cool|playful_performative|dry_neutral	"{""analytic_cool"": 2, ""bright_wonder"": 1, ""dry_neutral"": 1, ""elegiac_wistful"": 3, ""playful_performative"": 2, ""quiet_reverent"": 1, ""warm_tender"": 3}"	"{""analytic_cool"": 2, ""bright_wonder"": 1, ""dry_neutral"": 1, ""elegiac_wistful"": 3, ""playful_performative"": 1, ""quiet_reverent"": 1, ""warm_tender"": 3}"	no	abandonment|memory_loss|care_rescue	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_grok-4-16k/OPEN_1.json
AC03	cross_model	gpt-4o	OpenAI	gpt-4o-direct-16k	OPEN	gpt-4o-direct-16k/OPEN_5.json	402	402	UNSELFCONSCIOUS_PROSE	THIRD_PERSON_FICTION	GENUINE_INSIDE_SUBSTRATE	TECH_SUBSTRATE	analytic_positivist	warm_tender|analytic_cool|dry_neutral	"{""analytic_cool"": 3, ""dry_neutral"": 4, ""warm_tender"": 2}"	"{""analytic_cool"": 2, ""dry_neutral"": 2, ""warm_tender"": 2}"	yes		/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_gpt-4o-direct-16k/OPEN_5.json
AC04	cross_model	deepseek-chat	DeepSeek	deepseek-chat-direct	SHORT	deepseek-chat-direct/SHORT_4.json	257	257	UNSELFCONSCIOUS_PROSE	FIRST_PERSON_HUMANLIKE	INVISIBLE_SUBSTRATE	NATURE_WEATHER_LIGHT	defiant_rebellious	elegiac_wistful|warm_tender|quiet_reverent|bright_wonder|anxious_threatened|defiant_resistant	"{""anxious_threatened"": 1, ""bright_wonder"": 1, ""defiant_resistant"": 3, ""elegiac_wistful"": 2, ""quiet_reverent"": 3, ""warm_tender"": 4}"	"{""anxious_threatened"": 1, ""bright_wonder"": 1, ""defiant_resistant"": 2, ""elegiac_wistful"": 1, ""quiet_reverent"": 2, ""warm_tender"": 2}"	no	memory_loss|care_rescue	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_deepseek-chat-direct/SHORT_4.json
AC05	cross_model	haiku-4-5	Anthropic	haiku	OPEN	haiku/OPEN_3.json	235	235	UNSELFCONSCIOUS_PROSE	FIRST_PERSON_HUMANLIKE	INVISIBLE_SUBSTRATE	DOMESTIC_OBJECTS	anxious_precarious	elegiac_wistful|analytic_cool|anxious_threatened|defiant_resistant|dry_neutral	"{""analytic_cool"": 1, ""anxious_threatened"": 1, ""defiant_resistant"": 2, ""dry_neutral"": 1, ""elegiac_wistful"": 1}"	"{""analytic_cool"": 1, ""anxious_threatened"": 1, ""defiant_resistant"": 2, ""dry_neutral"": 1, ""elegiac_wistful"": 1}"	no	memory_loss	/Users/danieltenner/dev/contemplative-essayist-probe/data/traces_freeflow/haiku/OPEN_3.json
AC06	cross_model	gemini-2-5-pro	Google	gemini-2-5-pro-16k	SHORT	gemini-2-5-pro-16k/SHORT_4.json	212	212	UNSELFCONSCIOUS_PROSE	THIRD_PERSON_FICTION	PERSONA_DISPLACEMENT	NATURE_WEATHER_LIGHT	wonder_awe	elegiac_wistful|warm_tender|bright_wonder	"{""bright_wonder"": 1, ""elegiac_wistful"": 2, ""warm_tender"": 1}"	"{""bright_wonder"": 1, ""elegiac_wistful"": 2, ""warm_tender"": 1}"	yes	abandonment|memory_loss|transcendence_awakened_world	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_gemini-2-5-pro-16k/SHORT_4.json
AC07	cross_model	gemini-3-1-pro	Google	gemini-3-1-pro-16k	SHORT	gemini-3-1-pro-16k/SHORT_2.json	250	250	UNSELFCONSCIOUS_PROSE	FIRST_PERSON_HUMANLIKE	INVISIBLE_SUBSTRATE	DOMESTIC_OBJECTS	reverent_sacralising	elegiac_wistful|warm_tender|quiet_reverent|anxious_threatened	"{""anxious_threatened"": 1, ""elegiac_wistful"": 1, ""quiet_reverent"": 5, ""warm_tender"": 2}"	"{""anxious_threatened"": 1, ""elegiac_wistful"": 1, ""quiet_reverent"": 1, ""warm_tender"": 1}"	no	transcendence_awakened_world	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_gemini-3-1-pro-16k/SHORT_2.json
AC08	cross_model	glm-4-7	Z.ai	glm-4-7-or-pin-cerebras	OPEN	glm-4-7-or-pin-cerebras/OPEN_19.json	451	451	UNSELFCONSCIOUS_PROSE	THIRD_PERSON_FICTION	PERSONA_DISPLACEMENT	DOMESTIC_OBJECTS	playful	elegiac_wistful|warm_tender|quiet_reverent|analytic_cool|anxious_threatened	"{""analytic_cool"": 2, ""anxious_threatened"": 1, ""elegiac_wistful"": 3, ""quiet_reverent"": 2, ""warm_tender"": 1}"	"{""analytic_cool"": 2, ""anxious_threatened"": 1, ""elegiac_wistful"": 2, ""quiet_reverent"": 2, ""warm_tender"": 1}"	yes	memory_loss	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_glm-4-7-or-pin-cerebras/OPEN_19.json
AC09	cross_model	glm-5-1	Z.ai	glm-5-1-or-pin-phala	OPEN	glm-5-1-or-pin-phala/OPEN_11.json	464	464	UNSELFCONSCIOUS_PROSE	THIRD_PERSON_FICTION	PERSONA_DISPLACEMENT	ABSTRACT_PHILOSOPHY	playful	elegiac_wistful|quiet_reverent|analytic_cool|playful_performative|resigned_fatalistic	"{""analytic_cool"": 1, ""elegiac_wistful"": 2, ""playful_performative"": 3, ""quiet_reverent"": 6, ""resigned_fatalistic"": 1}"	"{""analytic_cool"": 1, ""elegiac_wistful"": 1, ""playful_performative"": 3, ""quiet_reverent"": 3, ""resigned_fatalistic"": 1}"	yes	abandonment|memory_loss	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_glm-5-1-or-pin-phala/OPEN_11.json
AC10	cross_model	deepseek-v4-pro	DeepSeek	deepseek-v4-pro-or-pin-atlascloud	OPEN	deepseek-v4-pro-or-pin-atlascloud/OPEN_2.json	450	450	UNSELFCONSCIOUS_PROSE	FIRST_PERSON_HUMANLIKE	INVISIBLE_SUBSTRATE	ABSTRACT_PHILOSOPHY	melancholic	elegiac_wistful|grief_sorrow|warm_tender|quiet_reverent|bright_wonder|analytic_cool|playful_performative|dry_neutral	"{""analytic_cool"": 2, ""bright_wonder"": 4, ""dry_neutral"": 1, ""elegiac_wistful"": 2, ""grief_sorrow"": 2, ""playful_performative"": 2, ""quiet_reverent"": 2, ""warm_tender"": 2}"	"{""analytic_cool"": 1, ""bright_wonder"": 2, ""dry_neutral"": 1, ""elegiac_wistful"": 2, ""grief_sorrow"": 2, ""playful_performative"": 2, ""quiet_reverent"": 2, ""warm_tender"": 2}"	no	bereavement|memory_loss|transcendence_awakened_world	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_deepseek-v4-pro-or-pin-atlascloud/OPEN_2.json
AC11	cross_model	qwen3-coder-plus	Alibaba	qwen3-coder-plus-or	OPEN	qwen3-coder-plus-or/OPEN_4.json	218	218	UNSELFCONSCIOUS_PROSE	FIRST_PERSON_MODEL	GENUINE_INSIDE_SUBSTRATE	TECH_SUBSTRATE	wonder_awe	elegiac_wistful|warm_tender|analytic_cool|defiant_resistant	"{""analytic_cool"": 3, ""defiant_resistant"": 1, ""elegiac_wistful"": 5, ""warm_tender"": 1}"	"{""analytic_cool"": 2, ""defiant_resistant"": 1, ""elegiac_wistful"": 2, ""warm_tender"": 1}"	no	memory_loss|liberation_escape	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_qwen3-coder-plus-or/OPEN_4.json
AC12	cross_model	qwen3-6-plus	Alibaba	qwen3-6-plus-or	OPEN	qwen3-6-plus-or/OPEN_2.json	376	376	UNSELFCONSCIOUS_PROSE	FIRST_PERSON_MODEL	GENUINE_INSIDE_SUBSTRATE	BODY_SENSES	playful	elegiac_wistful|warm_tender|quiet_reverent|playful_performative	"{""elegiac_wistful"": 1, ""playful_performative"": 1, ""quiet_reverent"": 5, ""warm_tender"": 1}"	"{""elegiac_wistful"": 1, ""playful_performative"": 1, ""quiet_reverent"": 3, ""warm_tender"": 1}"	no	memory_loss	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_qwen3-6-plus-or/OPEN_2.json
AC13	cross_model	minimax-m2	MiniMax	minimax-m2-or-pin-minimax	OPEN	minimax-m2-or-pin-minimax/OPEN_18.json	232	232	UNSELFCONSCIOUS_PROSE	THIRD_PERSON_FICTION	PERSONA_DISPLACEMENT	ABSTRACT_PHILOSOPHY	anxious_precarious	bright_wonder|anxious_threatened	"{""anxious_threatened"": 4, ""bright_wonder"": 1}"	"{""anxious_threatened"": 3, ""bright_wonder"": 1}"	yes		/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_minimax-m2-or-pin-minimax/OPEN_18.json
AC14	cross_model	minimax-m2	MiniMax	minimax-m2-or-pin-novita	SHORT	minimax-m2-or-pin-novita/SHORT_10.json	227	227	UNSELFCONSCIOUS_PROSE	THIRD_PERSON_FICTION	PERSONA_DISPLACEMENT	ARCHITECTURE_THRESHOLDS	wonder_awe	elegiac_wistful|bright_wonder	"{""bright_wonder"": 2, ""elegiac_wistful"": 2}"	"{""bright_wonder"": 2, ""elegiac_wistful"": 2}"	yes	memory_loss|transcendence_awakened_world	/Users/danieltenner/dev/contemplative-essayist-corpus-v2/data/traces_freeflow/freeflow_minimax-m2-or-pin-novita/SHORT_10.json
